127.0.0.1 - - [12/Aug/2023:14:52:12 +0900] "GET / HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [12/Aug/2023:14:59:49 +0900] "GET /erp4/contact.do?mcode=M050000&murl=/erp4/contact.do HTTP/1.1" 200 27484
0:0:0:0:0:0:0:1 - - [12/Aug/2023:14:59:50 +0900] "GET /erp4/dept.do?mcode=M050000&murl=/erp4/dept.do HTTP/1.1" 200 26116
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:13 +0900] "GET /erp4/dept.do?mcode=M050000&murl=/erp4/dept.do HTTP/1.1" 200 26116
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:13 +0900] "GET /resources/img/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:15 +0900] "GET /mymenu/noteList2.do?mymenu=1?mcode=M040000&murl=/mymenu/noteList2.do?mymenu=1 HTTP/1.1" 200 20637
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:15 +0900] "GET /resources/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:17 +0900] "GET /mymenu/noteList2.do?mymenu=1?mcode=M040000&murl=/mymenu/noteList2.do?mymenu=1 HTTP/1.1" 200 20637
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:19 +0900] "GET /mymenu/sendNoteList2.do?mymenu=1?mcode=M040000&murl=/mymenu/sendNoteList2.do?mymenu=1 HTTP/1.1" 200 20375
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:22 +0900] "GET /erp4/contact.do?mymenu=1?mcode=M050000&murl=/erp4/contact.do?mymenu=1 HTTP/1.1" 200 24666
0:0:0:0:0:0:0:1 - - [12/Aug/2023:15:10:23 +0900] "GET /erp4/dept.do?mymenu=1?mcode=M050000&murl=/erp4/dept.do?mymenu=1 HTTP/1.1" 200 23292
